-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -2.9790                -2.9790    0.3795       15.0000         0.5337             -3.5127           -2.9790                 -2.9790
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          7          -0.0960                -0.5992    2.8588       50.0000         1.4667             -2.9215           -0.0960                 -0.5992
          8          -1.1969                -1.1969    3.1786       55.0000         0.7444             -2.9215           -1.1969                 -1.1969
          9          -0.1728                -1.1969    3.5025       60.0000         2.3321             -2.9215           -0.1728                 -1.1969
         10          -1.8608                -1.8608    3.8301       65.0000         0.0000             -2.9215           -1.8608                 -1.8608
         11          -1.7314                -1.8608    4.1958       70.0000         0.0000             -2.9215           -1.7314                 -1.8608
         12          -2.4272                -2.4272    4.5483       75.0000         0.0000             -2.9215           -2.4272                 -2.4272
         13          -1.8324                -2.4272    4.9525       80.0000         0.0000             -2.9215           -1.8324                 -2.4272
         14          -0.4880                -2.4272    5.3062       85.0000         0.7205             -2.9215           -0.4880                 -2.4272
         15          -0.0960                -2.4272    5.6642       90.0000         1.2626             -2.9215           -0.0960                 -2.4272
         16          -1.7601                -2.4272    6.0295       95.0000         0.0000             -2.9215           -1.7601                 -2.4272
         17          -0.9190                -2.4272    6.4040      100.0000         0.1589             -2.9215           -0.9190                 -2.4272
